location_id,time,temperature_2m (°C),relative_humidity_2m (%),wind_speed_100m (km/h)
0,1/1/2013,-4.7,84,41.8
0,1/1/2013,-5.1,83,43.4
0,1/1/2013,-5.7,80,43.1
0,1/1/2013,-5.9,81,39.4
0,1/1/2013,-6.5,81,37.6
0,1/1/2013,-6.7,80,36.8
0,1/1/2013,-7.2,80,35
0,1/1/2013,-7.2,80,33.4
0,1/1/2013,-7.2,80,31.2
0,1/1/2013,-7.2,79,28.4
0,1/1/2013,-7.4,78,27.2
0,1/1/2013,-7.3,78,27.2
0,1/1/2013,-7.2,76,25.7
0,1/1/2013,-7.1,75,23.8
0,1/1/2013,-6.7,67,23.1
0,1/1/2013,-6.4,66,22.9
0,1/1/2013,-6.3,64,24.1
0,1/1/2013,-6.3,65,26
0,1/1/2013,-6.5,64,28.2
0,1/1/2013,-6.8,65,30.5
0,1/1/2013,-6.8,66,32.4
0,1/1/2013,-6.8,67,35
0,1/1/2013,-6.8,68,36.1
0,1/1/2013,-6.6,68,37
0,1/2/2013,-6.4,68,37.2
0,1/2/2013,-6.2,68,37.1
0,1/2/2013,-6.6,66,32.8
0,1/2/2013,-6.3,64,31.3
0,1/2/2013,-5.8,61,30.5
0,1/2/2013,-5.4,59,31.2
0,1/2/2013,-5.1,57,31.6
0,1/2/2013,-4.8,56,30.5
0,1/2/2013,-4.7,55,28.8
0,1/2/2013,-4.6,54,27.7
0,1/2/2013,-4.4,53,27.2
0,1/2/2013,-4.3,53,26.5
0,1/2/2013,-4.3,55,26.3
0,1/2/2013,-4.5,57,28.1
0,1/2/2013,-4.8,64,31.3
0,1/2/2013,-5.4,69,29.9
0,1/2/2013,-5.8,69,29.9
0,1/2/2013,-6.1,70,30.2
0,1/2/2013,-6.2,70,28.1
0,1/2/2013,-6.2,69,25.3
0,1/2/2013,-5.9,67,23.7
0,1/2/2013,-5.7,66,22.8
0,1/2/2013,-5.3,65,23.3
0,1/2/2013,-5.1,64,24.8
0,1/3/2013,-4.8,63,25.6
0,1/3/2013,-4.7,62,25.3
0,1/3/2013,-5,60,23.2
0,1/3/2013,-4.9,60,21.6
0,1/3/2013,-4.8,58,20.1
0,1/3/2013,-4.5,56,18.4
0,1/3/2013,-4.2,55,18.3
0,1/3/2013,-4,56,17.1
0,1/3/2013,-3.7,57,16.1
0,1/3/2013,-3.4,58,15.5
0,1/3/2013,-3.2,59,15.1
0,1/3/2013,-3,59,14.9
0,1/3/2013,-2.9,60,15.5
0,1/3/2013,-2.8,60,15.1
0,1/3/2013,-3,61,14.3
0,1/3/2013,-2.9,61,15.4
0,1/3/2013,-2.8,62,16.2
0,1/3/2013,-2.6,62,19.5
0,1/3/2013,-2.5,63,21.6
0,1/3/2013,-2.5,64,24.8
0,1/3/2013,-2.5,66,27.6
0,1/3/2013,-2.4,66,28.6
0,1/3/2013,-2.3,66,27.7
0,1/3/2013,-2.2,65,26.5
0,1/4/2013,-2.2,64,25.1
0,1/4/2013,-2.2,63,24.8
0,1/4/2013,-2.5,63,26
0,1/4/2013,-2.5,62,26.5
0,1/4/2013,-2.5,62,27.3
0,1/4/2013,-2.4,62,29.2
0,1/4/2013,-2.3,61,31.3
0,1/4/2013,-2.2,61,32.1
0,1/4/2013,-2,60,32.3
0,1/4/2013,-1.8,59,33.2
0,1/4/2013,-1.5,58,33.1
0,1/4/2013,-1.2,58,32.8
0,1/4/2013,-1,57,32.5
0,1/4/2013,-1,57,32
0,1/4/2013,-1,59,30.4
0,1/4/2013,-1,58,30.4
0,1/4/2013,-0.9,57,29.9
0,1/4/2013,-0.9,57,29.7
0,1/4/2013,-1,57,29.7
0,1/4/2013,-1.1,57,29.5
0,1/4/2013,-1.4,57,28.5
0,1/4/2013,-1.5,57,26
0,1/4/2013,-1.8,57,22.5
0,1/4/2013,-2.1,57,20.2
0,1/5/2013,-2.3,57,18.9
0,1/5/2013,-2.7,58,19.8
0,1/5/2013,-2.5,58,20.2
0,1/5/2013,-2.6,58,20.9
0,1/5/2013,-2.7,59,24.6
0,1/5/2013,-2.8,60,28.7
0,1/5/2013,-2.8,60,29.9
0,1/5/2013,-2.7,59,27.5
0,1/5/2013,-2.8,58,24.6
0,1/5/2013,-2.9,57,20.2
0,1/5/2013,-3,57,19.1
0,1/5/2013,-3,57,19.7
0,1/5/2013,-3,59,20.1
0,1/5/2013,-3,61,19.7
0,1/5/2013,-3,62,20.2
0,1/5/2013,-3,64,19.3
0,1/5/2013,-3,65,17.8
0,1/5/2013,-3,65,15.6
0,1/5/2013,-2.9,64,12.2
0,1/5/2013,-2.8,62,8
0,1/5/2013,-2.6,61,6.7
0,1/5/2013,-2.2,59,7.6
0,1/5/2013,-1.9,60,8.8
0,1/5/2013,-1.5,61,10.8
0,1/6/2013,-1.3,62,11.5
0,1/6/2013,-1.1,61,11.2
0,1/6/2013,-1.1,61,12.5
0,1/6/2013,-0.9,60,14.7
0,1/6/2013,-0.8,60,16.3
0,1/6/2013,-0.6,58,17.2
0,1/6/2013,-0.4,58,13.9
0,1/6/2013,-0.3,57,13.5
0,1/6/2013,-0.2,58,18.1
0,1/6/2013,-0.1,58,19.4
0,1/6/2013,0,59,20.5
0,1/6/2013,0.1,59,22.1
0,1/6/2013,0.2,59,21
0,1/6/2013,0.2,59,17.9
0,1/6/2013,0.1,63,16.9
0,1/6/2013,0.2,63,15.2
0,1/6/2013,0.2,63,14.2
0,1/6/2013,0.4,62,14.6
0,1/6/2013,0.6,62,14.9
0,1/6/2013,0.6,62,14.9
0,1/6/2013,0.8,61,16.3
0,1/6/2013,0.9,61,17.7
0,1/6/2013,0.9,60,17.8
0,1/6/2013,1,58,17.2
0,1/7/2013,0.9,58,16.6
0,1/7/2013,0.9,58,16.1
0,1/7/2013,0.4,61,17.1
0,1/7/2013,0.2,64,17.7
0,1/7/2013,-0.1,66,18.2
0,1/7/2013,-0.3,68,19.4
0,1/7/2013,-0.7,70,19.8
0,1/7/2013,-1.1,72,23.2
0,1/7/2013,-1.6,71,25.9
0,1/7/2013,-2,68,26.9
0,1/7/2013,-2.3,65,27.3
0,1/7/2013,-2.6,63,27.4
0,1/7/2013,-3,63,27.7
0,1/7/2013,-3.2,63,27.9
0,1/7/2013,-3.2,64,27.2
0,1/7/2013,-3.4,65,27
0,1/7/2013,-3.5,65,26.9
0,1/7/2013,-3.5,64,26.3
0,1/7/2013,-3.7,64,25.1
0,1/7/2013,-3.8,65,24.5
0,1/7/2013,-4,64,23.9
0,1/7/2013,-4.1,62,24.2
0,1/7/2013,-4.1,61,25.7
0,1/7/2013,-4.1,61,25.7
0,1/8/2013,-4.1,62,24.8
0,1/8/2013,-4.2,64,25.7
0,1/8/2013,-4.8,70,28.8
0,1/8/2013,-5.1,71,28.8
0,1/8/2013,-5.3,71,27.7
0,1/8/2013,-5.6,70,26.3
0,1/8/2013,-5.7,68,23.4
0,1/8/2013,-5.7,68,20.2
0,1/8/2013,-5.7,66,18.4
0,1/8/2013,-5.6,66,17.1
0,1/8/2013,-5.5,65,14.4
0,1/8/2013,-5.4,65,11.5
0,1/8/2013,-5.4,65,9
0,1/8/2013,-5.3,66,7.2
0,1/8/2013,-4.9,65,6.5
0,1/8/2013,-4.8,65,6.4
0,1/8/2013,-4.3,64,9.7
0,1/8/2013,-4.2,67,11.2
0,1/8/2013,-3.7,62,12.8
0,1/8/2013,-3.6,60,14.5
0,1/8/2013,-3.5,60,15.9
0,1/8/2013,-3.5,59,16.4
0,1/8/2013,-3.4,59,16.7
0,1/8/2013,-3.3,59,18.8
0,1/9/2013,-3.2,59,21
0,1/9/2013,-3.2,59,21.7
0,1/9/2013,-3.6,60,18.9
0,1/9/2013,-3.5,60,20.2
0,1/9/2013,-3.5,59,20.4
0,1/9/2013,-3.5,58,19.9
0,1/9/2013,-3.4,57,19.9
0,1/9/2013,-3.2,56,19.9
0,1/9/2013,-3,54,19.2
0,1/9/2013,-2.7,52,18
0,1/9/2013,-2.3,51,17.8
0,1/9/2013,-1.9,50,18.4
0,1/9/2013,-1.3,47,19.5
0,1/9/2013,-0.9,49,20.3
0,1/9/2013,-0.6,50,18.6
0,1/9/2013,-0.4,50,19.4
0,1/9/2013,-0.2,51,18.8
0,1/9/2013,-0.1,50,19.5
0,1/9/2013,0.2,50,21
0,1/9/2013,0.2,51,22.7
0,1/9/2013,0.2,55,24.7
0,1/9/2013,-0.1,59,26.3
0,1/9/2013,-0.2,60,25.5
0,1/9/2013,-0.2,57,23.8
0,1/10/2013,-0.1,52,21.5
0,1/10/2013,0.1,48,20.4
0,1/10/2013,0.1,50,24.1
0,1/10/2013,0.3,48,24
0,1/10/2013,0.6,48,25.8
0,1/10/2013,0.8,49,27.9
0,1/10/2013,0.9,50,28.4
0,1/10/2013,0.8,53,28.4
0,1/10/2013,0.8,56,28.9
0,1/10/2013,0.7,62,29.9
0,1/10/2013,0.7,66,31.1
0,1/10/2013,0.7,70,31.7
0,1/10/2013,0.8,72,32.5
0,1/10/2013,0.9,73,33.7
0,1/10/2013,1.1,75,33
0,1/10/2013,1.3,75,35.2
0,1/10/2013,1.5,76,35.8
0,1/10/2013,1.7,76,35.7
0,1/10/2013,1.9,76,36.9
0,1/10/2013,2,77,38.1
0,1/10/2013,2.3,76,36.6
0,1/10/2013,2.7,74,32.9
0,1/10/2013,3.2,72,31.3
0,1/10/2013,3.6,71,30.8
0,1/11/2013,3.9,70,29.8
0,1/11/2013,4,71,30.4
0,1/11/2013,3,77,31.5
0,1/11/2013,2.4,80,34
0,1/11/2013,2,81,35.5
0,1/11/2013,1.8,79,35.3
0,1/11/2013,1.6,76,34.6
0,1/11/2013,1.5,74,34.3
0,1/11/2013,1.6,69,33.7
0,1/11/2013,1.8,65,33.8
0,1/11/2013,1.6,64,32.5
0,1/11/2013,1.2,68,24.5
0,1/11/2013,0.9,71,19
0,1/11/2013,0.6,73,16.9
0,1/11/2013,1.2,66,21.1
0,1/11/2013,1.4,63,24.5
0,1/11/2013,1.5,60,27.4
0,1/11/2013,1.8,59,29.9
0,1/11/2013,1.9,61,30.3
0,1/11/2013,1.9,66,30.1
0,1/11/2013,1.9,68,28.7
0,1/11/2013,2,66,25.8
0,1/11/2013,2.2,63,22.8
0,1/11/2013,2.4,60,21.3
0,1/12/2013,2.6,58,19.4
0,1/12/2013,2.8,57,16.4
0,1/12/2013,2.5,59,12.9
0,1/12/2013,2.7,58,9.2
0,1/12/2013,2.8,58,5.9
0,1/12/2013,2.8,61,4.6
0,1/12/2013,2.7,66,8
0,1/12/2013,2.5,68,12.8
0,1/12/2013,2.5,70,15.7
0,1/12/2013,2.5,71,18
0,1/12/2013,2.5,72,19.5
0,1/12/2013,2.5,72,20.5
0,1/12/2013,2.5,72,21.1
0,1/12/2013,2.5,71,22
0,1/12/2013,2.6,72,19.8
0,1/12/2013,2.6,72,17.7
0,1/12/2013,2.7,71,18.2
0,1/12/2013,2.8,69,21.3
0,1/12/2013,2.9,69,23.9
0,1/12/2013,2.9,70,25.2
0,1/12/2013,2.8,72,23.2
0,1/12/2013,2.9,73,21.2
0,1/12/2013,3,73,20.6
0,1/12/2013,3.2,73,20
0,1/13/2013,3.3,72,19.2
0,1/13/2013,3.4,72,17.3
0,1/13/2013,3.5,72,16.9
0,1/13/2013,3.7,71,15.6
0,1/13/2013,3.6,72,14.7
0,1/13/2013,3.5,74,14.7
0,1/13/2013,3.2,76,15.6
0,1/13/2013,3,78,17.4
0,1/13/2013,2.7,82,18.5
0,1/13/2013,2.4,84,19.6
0,1/13/2013,2.2,85,23.7
0,1/13/2013,1.9,85,28
0,1/13/2013,1.5,84,30.9
0,1/13/2013,1.1,83,33.1
0,1/13/2013,1.1,80,38.8
0,1/13/2013,0.4,81,42.5
0,1/13/2013,-0.6,80,45.2
0,1/13/2013,-1.2,73,44.9
0,1/13/2013,-1.7,69,43.1
0,1/13/2013,-2,67,41.1
0,1/13/2013,-2.2,65,37.5
0,1/13/2013,-2.3,64,34
0,1/13/2013,-2.3,64,31.4
0,1/13/2013,-2.2,63,29.5
0,1/14/2013,-2.2,63,29
0,1/14/2013,-2.2,64,29.5
0,1/14/2013,-2.5,65,28.4
0,1/14/2013,-2.7,65,27.3
0,1/14/2013,-2.8,66,26.8
0,1/14/2013,-3,67,26.1
0,1/14/2013,-3.1,67,25.3
0,1/14/2013,-3,67,24.6
0,1/14/2013,-3,66,21.8
0,1/14/2013,-2.9,66,19.7
0,1/14/2013,-2.8,66,17.1
0,1/14/2013,-2.8,65,14.3
0,1/14/2013,-2.7,65,12.3
0,1/14/2013,-2.3,65,10
0,1/14/2013,-1.9,63,9.3
0,1/14/2013,-1.1,64,12.9
0,1/14/2013,-0.4,64,15
0,1/14/2013,0.2,65,16.5
0,1/14/2013,0.8,64,18.7
0,1/14/2013,1,63,20.4
0,1/14/2013,1.2,65,21.1
0,1/14/2013,1.2,69,19.7
0,1/14/2013,1.3,75,18.1
0,1/14/2013,1.5,78,15.9
0,1/15/2013,1.8,78,13.4
0,1/15/2013,1.6,81,12.8
0,1/15/2013,0.9,81,15.3
0,1/15/2013,0.4,81,21.1
0,1/15/2013,0,80,27.9
0,1/15/2013,-0.6,79,32
0,1/15/2013,-1.1,77,31.9
0,1/15/2013,-1.5,75,31.9
0,1/15/2013,-1.8,75,34.7
0,1/15/2013,-2.3,75,37.5
0,1/15/2013,-2.9,75,38.6
0,1/15/2013,-3.4,78,38.9
0,1/15/2013,-3.8,81,38.9
0,1/15/2013,-4.2,83,38.7
0,1/15/2013,-5,84,41.4
0,1/15/2013,-5.2,83,39.2
0,1/15/2013,-5.3,82,38.7
0,1/15/2013,-5.4,82,38.6
0,1/15/2013,-5.6,81,39.2
0,1/15/2013,-5.6,80,40.4
0,1/15/2013,-5.6,80,41.5
0,1/15/2013,-5.6,80,41.7
0,1/15/2013,-5.5,79,41.6
0,1/15/2013,-5.3,77,41.6
0,1/16/2013,-5.2,77,41.8
0,1/16/2013,-5.2,77,41.9
0,1/16/2013,-5.2,73,44.2
0,1/16/2013,-5,72,44.7
0,1/16/2013,-4.8,69,44.4
0,1/16/2013,-4.6,66,42.6
0,1/16/2013,-4.4,64,42.4
0,1/16/2013,-4.4,65,42
0,1/16/2013,-4.7,67,41.9
0,1/16/2013,-4.9,70,42.4
0,1/16/2013,-5.1,70,43.1
0,1/16/2013,-5.1,70,43.9
0,1/16/2013,-5.2,71,43.8
0,1/16/2013,-5.2,71,43.5
0,1/16/2013,-5.1,71,43
0,1/16/2013,-5.2,71,41.8
0,1/16/2013,-5.3,71,40.2
0,1/16/2013,-5.3,71,38.6
0,1/16/2013,-5.4,71,36.7
0,1/16/2013,-5.3,71,35.5
0,1/16/2013,-5.2,72,34.3
0,1/16/2013,-4.9,71,34
0,1/16/2013,-4.8,70,33.1
0,1/16/2013,-4.6,69,32.6
0,1/17/2013,-4.4,69,32.8
0,1/17/2013,-4.3,68,32.6
0,1/17/2013,-4.1,67,31.1
0,1/17/2013,-4,66,29.2
0,1/17/2013,-3.8,65,26.8
0,1/17/2013,-3.5,64,23.4
0,1/17/2013,-3.3,64,21.1
0,1/17/2013,-3,65,20.3
0,1/17/2013,-2.7,66,19.7
0,1/17/2013,-2.2,67,20.2
0,1/17/2013,-1.7,68,21.3
0,1/17/2013,-1.2,68,23.8
0,1/17/2013,-0.9,68,25.9
0,1/17/2013,-0.7,69,27.3
0,1/17/2013,-0.3,69,31.4
0,1/17/2013,-0.2,70,32.7
0,1/17/2013,0.1,70,33.5
0,1/17/2013,0.3,69,36.3
0,1/17/2013,0.6,68,38.5
0,1/17/2013,0.8,66,38.5
0,1/17/2013,0.9,64,37.9
0,1/17/2013,1.2,61,37.2
0,1/17/2013,1.6,58,36
0,1/17/2013,2,56,35.2
0,1/18/2013,2.4,54,35.5
0,1/18/2013,2.7,54,34.4
0,1/18/2013,2.8,55,31
0,1/18/2013,3,55,30
0,1/18/2013,3.2,57,30.4
0,1/18/2013,3.2,60,29.8
0,1/18/2013,3.2,64,29.9
0,1/18/2013,3,67,28.7
0,1/18/2013,3,69,27
0,1/18/2013,2.8,72,28.1
0,1/18/2013,2.5,75,27.4
0,1/18/2013,2.2,76,25.1
0,1/18/2013,1.5,76,22.4
0,1/18/2013,0.9,75,20.5
0,1/18/2013,0.8,77,21.2
0,1/18/2013,0.4,77,21.6
0,1/18/2013,0.1,77,24.3
0,1/18/2013,-0.2,77,25.3
0,1/18/2013,-0.4,76,24.4
0,1/18/2013,-0.5,75,22.2
0,1/18/2013,-0.6,75,20.2
0,1/18/2013,-0.4,75,18.9
0,1/18/2013,-0.4,75,15.3
0,1/18/2013,-0.3,74,13.6
0,1/19/2013,-0.3,74,14.8
0,1/19/2013,-0.3,74,17.1
0,1/19/2013,-0.3,73,17.3
0,1/19/2013,-0.3,73,14.5
0,1/19/2013,-0.3,73,15
0,1/19/2013,-0.2,73,16
0,1/19/2013,0.1,74,17.5
0,1/19/2013,0.3,73,20.2
0,1/19/2013,0.6,72,19.5
0,1/19/2013,0.8,72,19.8
0,1/19/2013,0.9,72,17.8
0,1/19/2013,1.1,71,15.5
0,1/19/2013,1.2,72,14.8
0,1/19/2013,1.4,71,17.6
0,1/19/2013,1.5,73,12.3
0,1/19/2013,1.8,72,6.7
0,1/19/2013,2,71,8.7
0,1/19/2013,2.1,71,14.3
0,1/19/2013,2.2,72,18.2
0,1/19/2013,2.3,74,20.2
0,1/19/2013,2.3,76,21.7
0,1/19/2013,2.5,76,21.1
0,1/19/2013,2.7,77,19
0,1/19/2013,2.9,77,18.7
0,1/20/2013,3,78,18.4
0,1/20/2013,3,79,19.9
0,1/20/2013,3,75,20.1
0,1/20/2013,3.2,76,22.4
0,1/20/2013,3.2,77,23.8
0,1/20/2013,3.2,79,24.1
0,1/20/2013,3.1,81,22
0,1/20/2013,3,83,20.2
0,1/20/2013,2.7,86,19.4
0,1/20/2013,2.5,88,21.7
0,1/20/2013,2.4,89,27
0,1/20/2013,2.2,91,30.3
0,1/20/2013,2,93,32.6
0,1/20/2013,1.7,94,33.6
0,1/20/2013,1.1,92,33.6
0,1/20/2013,0.9,92,34.2
0,1/20/2013,0.7,90,34.7
0,1/20/2013,0.6,88,34.5
0,1/20/2013,0.3,86,34.2
0,1/20/2013,0.3,84,33.2
0,1/20/2013,0.2,83,33.3
0,1/20/2013,-0.1,82,35.6
0,1/20/2013,-0.2,81,39.3
0,1/20/2013,-0.4,81,40.4
0,1/21/2013,-0.6,80,40
0,1/21/2013,-0.9,79,43.3
0,1/21/2013,-1.7,78,44.8
0,1/21/2013,-1.9,76,45.8
0,1/21/2013,-2,74,47.2
0,1/21/2013,-2.2,73,49.7
0,1/21/2013,-2.4,74,51.1
0,1/21/2013,-2.7,76,52.6
0,1/21/2013,-3,77,52.3
0,1/21/2013,-3.3,79,52.3
0,1/21/2013,-3.6,81,52.3
0,1/21/2013,-3.8,82,50.5
0,1/21/2013,-4,83,49
0,1/21/2013,-4.2,84,48.3
0,1/21/2013,-4.6,84,45.8
0,1/21/2013,-4.7,84,44
0,1/21/2013,-4.6,84,43.3
0,1/21/2013,-4.6,84,42.6
0,1/21/2013,-4.6,84,39.7
0,1/21/2013,-4.4,82,35.7
0,1/21/2013,-4.1,80,31.8
0,1/21/2013,-3.8,79,30.2
0,1/21/2013,-3.5,78,30
0,1/21/2013,-3.2,78,30
0,1/22/2013,-3.2,79,27.9
0,1/22/2013,-3.2,80,24.6
0,1/22/2013,-3,79,21.2
0,1/22/2013,-3,80,21.4
0,1/22/2013,-3,79,21.7
0,1/22/2013,-3,79,21.8
0,1/22/2013,-2.8,78,22.7
0,1/22/2013,-2.7,77,24.8
0,1/22/2013,-2.4,75,27
0,1/22/2013,-2.2,74,29.3
0,1/22/2013,-1.9,72,29.4
0,1/22/2013,-1.5,70,28.4
0,1/22/2013,-1.3,70,25.3
0,1/22/2013,-1.1,69,19.1
0,1/22/2013,-0.9,70,16.7
0,1/22/2013,-0.6,71,19.8
0,1/22/2013,-0.4,74,22.8
0,1/22/2013,-0.2,75,23.9
0,1/22/2013,-0.1,76,26.2
0,1/22/2013,-0.1,77,31.2
0,1/22/2013,0,76,33.6
0,1/22/2013,0.2,75,33.5
0,1/22/2013,0.4,73,33.5
0,1/22/2013,0.7,71,34.3
0,1/23/2013,1.1,69,33.9
0,1/23/2013,1.5,67,32.3
0,1/23/2013,1.5,72,31
0,1/23/2013,1.8,72,32
0,1/23/2013,2,72,34.5
0,1/23/2013,2,73,36.1
0,1/23/2013,1.8,77,35.9
0,1/23/2013,1.5,79,37.2
0,1/23/2013,1.4,80,37.1
0,1/23/2013,1.3,81,36.7
0,1/23/2013,1.1,77,36.8
0,1/23/2013,0.2,71,44
0,1/23/2013,-0.9,73,46.4
0,1/23/2013,-1.7,74,44.9
0,1/23/2013,-3,76,45.1
0,1/23/2013,-3.7,73,41.5
0,1/23/2013,-4.2,69,35.7
0,1/23/2013,-4.3,65,29.5
0,1/23/2013,-4.4,61,22.9
0,1/23/2013,-4.3,57,19.3
0,1/23/2013,-4,57,21
0,1/23/2013,-3.4,59,26.9
0,1/23/2013,-2.8,61,36.1
0,1/23/2013,-2,60,39.2
0,1/24/2013,-1.8,63,39.4
0,1/24/2013,-2.2,66,40
0,1/24/2013,-3.7,74,46.8
0,1/24/2013,-4.4,63,44.8
0,1/24/2013,-4.8,59,42.4
0,1/24/2013,-5.2,60,39.5
0,1/24/2013,-5.7,62,35.9
0,1/24/2013,-6.2,64,32.8
0,1/24/2013,-6.7,65,29.7
0,1/24/2013,-7.1,65,27.6
0,1/24/2013,-7.4,65,25.6
0,1/24/2013,-7.7,64,24.7
0,1/24/2013,-7.9,64,23.7
0,1/24/2013,-8.1,63,23
0,1/24/2013,-8.1,61,18.6
0,1/24/2013,-8.1,61,17.6
0,1/24/2013,-8,60,17.6
0,1/24/2013,-7.9,60,18.3
0,1/24/2013,-7.8,59,18.6
0,1/24/2013,-7.7,58,17.3
0,1/24/2013,-7.6,58,17.1
0,1/24/2013,-7.3,57,18.5
0,1/24/2013,-7.1,56,19.5
0,1/24/2013,-6.8,55,19.5
0,1/25/2013,-6.5,55,18.8
0,1/25/2013,-6.2,54,18.2
0,1/25/2013,-5.7,53,18
0,1/25/2013,-5.4,53,16.3
0,1/25/2013,-5.2,53,15
0,1/25/2013,-4.9,52,15.5
0,1/25/2013,-4.8,53,14.3
0,1/25/2013,-4.8,54,14.1
0,1/25/2013,-4.8,54,16.1
0,1/25/2013,-4.9,54,19.6
0,1/25/2013,-5.2,54,22.2
0,1/25/2013,-5.3,54,23.4
0,1/25/2013,-5.5,56,24.3
0,1/25/2013,-5.7,58,24.2
0,1/25/2013,-5.3,57,24.5
0,1/25/2013,-5.4,61,24.2
0,1/25/2013,-5.4,63,23.4
0,1/25/2013,-5.4,63,22.5
0,1/25/2013,-5.5,63,21.7
0,1/25/2013,-5.5,62,19.4
0,1/25/2013,-5.4,61,17
0,1/25/2013,-5.3,61,15.5
0,1/25/2013,-5,62,15.3
0,1/25/2013,-4.8,62,16.3
0,1/26/2013,-4.6,64,17.6
0,1/26/2013,-4.3,64,19.8
0,1/26/2013,-4.3,68,20.8
0,1/26/2013,-4.2,68,21.6
0,1/26/2013,-4.2,68,19.8
0,1/26/2013,-4.1,68,16.9
0,1/26/2013,-4.2,68,16.8
0,1/26/2013,-4.2,69,19.5
0,1/26/2013,-4.3,69,19.8
0,1/26/2013,-4.4,68,20.2
0,1/26/2013,-4.5,67,20.3
0,1/26/2013,-4.5,67,20.5
0,1/26/2013,-4.6,69,20.4
0,1/26/2013,-4.6,71,20.2
0,1/26/2013,-4.4,73,20.5
0,1/26/2013,-4.3,73,19.8
0,1/26/2013,-4.2,71,18.4
0,1/26/2013,-4.1,70,16.6
0,1/26/2013,-4.1,69,15.7
0,1/26/2013,-4,67,14.4
0,1/26/2013,-3.8,66,12.3
0,1/26/2013,-3.6,64,10.8
0,1/26/2013,-3.1,60,10.5
0,1/26/2013,-2.7,60,10.7
0,1/27/2013,-2.2,62,11.2
0,1/27/2013,-1.8,62,11.3
0,1/27/2013,-2,66,11.4
0,1/27/2013,-1.6,67,11.7
0,1/27/2013,-1.2,66,11.8
0,1/27/2013,-0.9,67,14.2
0,1/27/2013,-0.6,68,18.9
0,1/27/2013,-0.3,69,22.4
0,1/27/2013,0.1,70,24.5
0,1/27/2013,0.5,72,25.5
0,1/27/2013,0.9,73,26.1
0,1/27/2013,1.2,76,26.3
0,1/27/2013,1.5,79,27
0,1/27/2013,1.6,82,27.5
0,1/27/2013,1.6,82,26.5
0,1/27/2013,1.8,83,26
0,1/27/2013,1.9,83,25.2
0,1/27/2013,2,83,25
0,1/27/2013,2.1,83,25
0,1/27/2013,2.2,83,22.9
0,1/27/2013,2.2,82,21.1
0,1/27/2013,2.3,82,19
0,1/27/2013,2.5,81,15
0,1/27/2013,2.5,81,10.8
0,1/28/2013,2.6,81,7.5
0,1/28/2013,2.5,82,4.3
0,1/28/2013,2.2,83,5.4
0,1/28/2013,2.2,84,9.5
0,1/28/2013,2.2,85,11.8
0,1/28/2013,2.1,86,13.2
0,1/28/2013,2,87,13.7
0,1/28/2013,2,88,13.3
0,1/28/2013,2,89,13.4
0,1/28/2013,2,89,12.9
0,1/28/2013,2,89,12.6
0,1/28/2013,2,90,12.2
0,1/28/2013,1.9,91,11.8
0,1/28/2013,1.8,92,10.8
0,1/28/2013,1.2,88,12.5
0,1/28/2013,1.2,89,11
0,1/28/2013,1.2,88,10.9
0,1/28/2013,1.4,88,11.2
0,1/28/2013,1.5,87,12.2
0,1/28/2013,1.7,86,12.4
0,1/28/2013,1.8,86,11.9
0,1/28/2013,1.9,85,10.7
0,1/28/2013,2,85,10.4
0,1/28/2013,2.2,84,10
0,1/29/2013,2.2,83,11.3
0,1/29/2013,2.3,84,11.2
0,1/29/2013,1.8,85,10.9
0,1/29/2013,1.8,84,9
0,1/29/2013,1.8,84,7.2
0,1/29/2013,1.9,83,6.9
0,1/29/2013,1.9,83,6.4
0,1/29/2013,2,82,7.6
0,1/29/2013,2,82,7.9
0,1/29/2013,2,82,7.1
0,1/29/2013,1.9,82,6.5
0,1/29/2013,1.8,82,6.6
0,1/29/2013,1.8,83,7.6
0,1/29/2013,1.8,83,10.1
0,1/29/2013,1.3,84,11.2
0,1/29/2013,1.3,86,14.5
0,1/29/2013,1.4,86,13.4
0,1/29/2013,1.6,86,15.8
0,1/29/2013,1.8,86,17.2
0,1/29/2013,1.9,87,18.8
0,1/29/2013,2,88,19.1
0,1/29/2013,2,89,18.6
0,1/29/2013,2.2,89,18.7
0,1/29/2013,2.3,89,18.9
0,1/30/2013,2.5,88,20.2
0,1/30/2013,2.8,88,21.7
0,1/30/2013,3.5,88,15.1
0,1/30/2013,3.6,90,16.4
0,1/30/2013,3.8,91,17.4
0,1/30/2013,3.8,91,16.9
0,1/30/2013,3.8,92,15.6
0,1/30/2013,3.7,93,15.6
0,1/30/2013,3.5,93,15.9
0,1/30/2013,3.5,93,15.6
0,1/30/2013,3.4,94,16.4
0,1/30/2013,3.5,94,18.6
0,1/30/2013,3.5,94,21.1
0,1/30/2013,3.7,96,24
0,1/30/2013,3.4,96,20.9
0,1/30/2013,3.5,98,20.8
0,1/30/2013,3.7,99,22.5
0,1/30/2013,3.7,99,26
0,1/30/2013,3.7,99,28.6
0,1/30/2013,3.8,98,30.8
0,1/30/2013,4.2,96,32.1
0,1/30/2013,4.6,95,32.9
0,1/30/2013,4.9,94,34.4
0,1/30/2013,5.3,93,37.5
0,1/31/2013,5.5,93,40.4
0,1/31/2013,5.7,92,42.4
0,1/31/2013,5.4,93,42.1
0,1/31/2013,5.4,93,43.7
0,1/31/2013,5.4,93,44.3
0,1/31/2013,5.3,93,43.1
0,1/31/2013,5.2,94,40.2
